ASK,Ask the model a question and receive an answer - DEPRECATED USE INT instead.
READ,Provide context and send the contents of a file to the model for absorption into the current chat.
RESET,Clear the current chat history (useful to start a fresh conversation).
/RESET,Clear the UART screen and redraw the welcome banner.
CFG,Show current configuration information.
HELP,List available commands.
INT, Enter interactive mode - user /bye to exit.
MODEL,List available models and select one.
RAG_INGEST,Ingest a folder into the RAG system.
RAG_SHOW,Show the contents of the RAG ingestion.
RAG_SESSION,Display the session information.
DELAY,Set the Chars per second (CPS) delay for responses.
 /speak on,Enable text-to-speech output for assistant replies.
/speak off,Disable text-to-speech output.
